year,col1,col2,col3,col4,col5,col6,col7,col8,name
2013,0,0,0,1,0,1,6,0,대전본청
2014,0,4,0,0,1,1,5,0,대전본청
2015,0,3,0,1,0,0,7,0,대전본청
2016,0,6,0,1,0,2,5,0,대전본청
2017,0,0,0,0,0,1,10,0,대전본청
2010,1,0,0,0,2,1,0,0,대전동구
2011,0,0,0,0,4,1,0,0,대전동구
2012,0,0,0,0,1,4,0,0,대전동구
2013,1,2,0,0,0,1,2,0,대전동구
2014,4,2,0,0,7,0,1,0,대전동구
2015,1,0,0,0,11,4,4,0,대전동구
2016,1,3,0,0,9,4,4,0,대전동구
2017,0,0,0,0,10,5,5,0,대전동구
2009,0,1,0,0,0,1,2,0,대전중구
2010,0,0,0,0,1,1,2,0,대전중구
2011,0,1,0,0,0,2,4,0,대전중구
2012,0,3,0,0,2,2,2,0,대전중구
2013,0,1,0,1,0,0,3,0,대전중구
2014,0,2,0,0,1,3,3,0,대전중구
2015,1,3,0,0,5,1,2,0,대전중구
2016,1,3,0,0,4,5,7,0,대전중구
2017,2,4,0,0,8,3,7,0,대전중구
2009,0,2,0,0,2,2,4,0,대전서구
2010,0,2,0,0,0,2,0,0,대전서구
2011,0,1,0,0,5,3,5,0,대전서구
2012,0,3,0,0,4,2,2,0,대전서구
2013,0,5,0,0,0,2,5,0,대전서구
2014,0,4,0,1,5,1,6,0,대전서구
2015,0,1,0,1,2,6,7,0,대전서구
2016,0,2,0,0,0,2,2,0,대전서구
2017,0,1,0,0,0,1,0,0,대전서구
2008,0,5,0,0,5,0,2,0,대전유성구
2009,0,4,0,0,1,1,2,0,대전유성구
2010,0,2,0,1,2,0,0,0,대전유성구
2011,0,3,0,0,4,3,4,0,대전유성구
2012,0,2,0,0,4,2,2,0,대전유성구
2013,0,1,0,0,1,3,4,0,대전유성구
2014,0,3,0,0,0,1,0,0,대전유성구
2015,0,5,0,0,0,2,0,0,대전유성구
2016,0,13,0,0,0,0,2,0,대전유성구
2017,0,3,0,1,2,0,2,0,대전유성구
2008,0,0,0,0,1,0,0,0,대전대덕구
2009,0,1,0,0,5,1,4,0,대전대덕구
2010,1,5,0,0,2,2,4,0,대전대덕구
2011,0,1,0,0,1,7,5,0,대전대덕구
2012,0,5,0,0,2,2,7,0,대전대덕구
2013,0,2,0,0,0,1,3,0,대전대덕구
2014,0,3,0,0,2,0,7,0,대전대덕구
2015,0,0,0,2,1,2,5,0,대전대덕구
2016,0,1,0,0,0,0,1,0,대전대덕구
2017,0,1,0,0,0,1,4,0,대전대덕구
2008,0,0,0,0,0,1,0,0,울산본청
2009,0,1,0,0,1,2,3,0,울산본청
2010,0,1,0,0,5,4,1,0,울산본청
2011,0,0,0,0,1,5,1,0,울산본청
2012,0,0,0,0,3,3,6,0,울산본청
2013,0,2,0,0,0,0,2,0,울산본청
2014,0,3,0,0,3,1,6,1,울산본청
2015,1,1,0,0,2,2,4,0,울산본청
2016,0,5,0,0,3,0,6,0,울산본청
2017,0,3,0,0,1,1,5,2,울산본청
2008,0,0,0,0,1,0,0,0,울산중구
2009,0,1,0,0,2,3,1,0,울산중구
2010,0,1,0,0,0,5,3,0,울산중구
2011,0,1,0,0,3,1,2,0,울산중구
2012,0,2,0,0,1,1,4,0,울산중구
2013,0,1,0,0,3,3,3,0,울산중구
2014,0,2,0,0,4,4,3,0,울산중구
2015,0,2,0,0,2,5,4,0,울산중구
2016,0,5,0,0,1,0,6,0,울산중구
2017,0,3,0,1,4,3,1,0,울산중구
2008,0,0,0,0,0,0,1,0,울산남구
2009,0,1,0,0,3,2,7,0,울산남구
2010,0,2,0,0,4,10,2,0,울산남구
2011,0,2,0,0,2,5,7,0,울산남구
2012,0,0,0,0,1,4,9,1,울산남구
2013,0,1,0,0,3,3,5,0,울산남구
2014,0,2,0,0,0,3,2,0,울산남구
2015,0,2,0,0,2,2,4,0,울산남구
2016,0,4,0,2,1,0,8,0,울산남구
2017,0,0,0,0,3,2,4,0,울산남구
2009,4,0,0,0,5,1,0,0,울산동구
2010,8,0,0,0,3,0,1,0,울산동구
2011,4,1,0,0,11,0,0,0,울산동구
2012,4,1,0,0,6,1,1,0,울산동구
2013,6,3,0,0,14,2,0,0,울산동구
2014,5,0,0,0,7,3,0,0,울산동구
2015,4,0,0,0,8,1,2,0,울산동구
2016,0,1,0,0,2,0,0,1,울산동구
2017,2,0,0,0,3,0,0,0,울산동구
2009,0,1,0,0,0,0,1,0,울산북구
2010,0,0,0,0,0,1,1,0,울산북구
2012,0,0,0,0,0,0,1,2,울산북구
2013,0,1,0,0,0,0,0,5,울산북구
2014,0,5,0,0,1,2,1,2,울산북구
2015,0,15,0,1,0,3,1,9,울산북구
2016,0,5,0,0,2,1,2,10,울산북구
2017,0,6,0,1,4,4,3,22,울산북구
2008,0,0,0,0,1,1,0,0,울산울주군
2009,0,0,0,0,1,6,0,0,울산울주군
2010,0,1,0,0,1,3,8,0,울산울주군
2011,0,2,0,0,2,0,6,0,울산울주군
2012,0,1,0,0,3,0,4,0,울산울주군
2013,0,2,0,0,5,3,2,2,울산울주군
2014,0,1,0,0,4,4,1,0,울산울주군
2015,0,1,0,1,2,4,7,0,울산울주군
2016,0,5,0,2,2,3,6,0,울산울주군
2017,0,1,0,0,4,2,5,1,울산울주군
2008,0,0,0,0,0,0,1,0,세종본청
2009,0,0,0,1,3,2,0,0,세종본청
2010,0,1,0,0,0,2,2,0,세종본청
2011,0,1,0,0,1,4,5,0,세종본청
2012,0,1,0,0,3,4,5,0,세종본청
2013,0,1,0,0,1,1,4,0,세종본청
2014,0,2,0,0,3,4,5,1,세종본청
2015,0,3,0,0,4,5,4,0,세종본청
2016,0,2,0,1,5,2,3,0,세종본청
2017,0,2,0,2,10,5,4,0,세종본청
2012,12,0,0,0,0,0,0,0,경기본청
2013,10,1,0,0,0,0,0,0,경기본청
2014,14,0,0,0,0,0,0,0,경기본청
2015,29,1,0,0,0,0,0,0,경기본청
2016,29,0,0,0,0,0,0,0,경기본청
2017,10,1,0,0,1,0,0,0,경기본청
2009,0,1,0,0,0,2,1,0,경기수원시
2010,0,0,0,0,2,6,6,0,경기수원시
2011,0,3,0,0,0,5,4,0,경기수원시
2012,0,4,0,0,2,3,3,0,경기수원시
2013,0,2,0,0,1,1,7,0,경기수원시
2014,0,2,0,0,4,1,4,2,경기수원시
2015,0,3,0,0,2,2,9,0,경기수원시
2016,0,4,0,0,1,4,5,0,경기수원시
2017,0,1,0,0,2,3,6,0,경기수원시
2009,0,2,0,0,3,0,7,0,경기성남시
2010,0,3,0,0,4,2,3,0,경기성남시
2011,0,3,0,0,4,4,3,0,경기성남시
2012,0,2,0,0,3,5,4,0,경기성남시
2013,0,3,0,0,2,5,1,0,경기성남시
2014,0,1,0,0,0,0,4,0,경기성남시
2015,0,5,0,0,3,0,7,0,경기성남시
2016,0,2,0,0,2,1,5,0,경기성남시
2017,1,2,0,0,4,0,4,1,경기성남시
2009,0,1,0,0,3,2,4,0,경기의정부시
2010,0,3,0,0,3,4,4,0,경기의정부시
2011,0,3,0,0,1,5,7,0,경기의정부시
2012,0,3,0,0,4,5,3,0,경기의정부시
2013,0,3,0,0,0,0,4,0,경기의정부시
2014,0,2,0,0,1,3,3,0,경기의정부시
2015,2,0,0,0,3,2,1,0,경기의정부시
2016,0,6,0,0,0,0,3,0,경기의정부시
2017,1,4,0,0,6,2,3,0,경기의정부시
2008,0,0,0,0,1,1,0,0,경기안양시
2009,0,2,0,0,2,6,1,0,경기안양시
2010,0,1,0,0,2,5,2,0,경기안양시
2011,0,2,0,0,5,3,8,0,경기안양시
2012,0,0,0,0,4,5,4,0,경기안양시
2013,0,2,0,0,1,0,3,0,경기안양시
2014,0,1,0,0,1,4,3,0,경기안양시
2015,0,2,0,0,0,3,5,0,경기안양시
2016,0,3,0,0,2,1,6,0,경기안양시
2017,0,4,0,0,0,0,6,0,경기안양시
2009,0,2,0,0,2,4,2,0,경기부천시
2010,0,2,0,0,2,5,4,0,경기부천시
2011,0,1,0,0,3,5,1,0,경기부천시
2012,0,3,0,0,7,5,6,0,경기부천시
2013,0,0,0,0,4,1,3,0,경기부천시
2014,0,2,0,0,5,3,1,0,경기부천시
2015,2,1,0,0,6,3,5,0,경기부천시
2016,3,1,0,0,3,0,2,0,경기부천시
2017,0,0,0,0,1,0,1,0,경기부천시
2009,0,2,0,0,0,2,0,0,경기광명시
2010,0,0,0,0,2,2,0,0,경기광명시
2011,0,1,0,0,0,2,2,0,경기광명시
2012,0,1,0,0,3,1,3,0,경기광명시
2013,0,0,0,1,1,4,5,0,경기광명시
2014,0,4,0,0,3,9,5,0,경기광명시
2015,0,1,0,0,1,3,1,0,경기광명시
2016,0,5,0,2,1,3,11,0,경기광명시
2017,0,5,0,2,0,5,7,0,경기광명시
2009,0,1,0,0,5,3,2,0,경기평택시
2010,0,2,0,0,0,13,5,0,경기평택시
2011,2,3,0,0,3,2,6,0,경기평택시
2012,0,3,0,0,4,5,9,0,경기평택시
2013,0,2,0,0,1,2,5,0,경기평택시
2014,0,2,0,0,0,3,4,0,경기평택시
2015,0,2,0,0,0,0,3,0,경기평택시
2016,0,1,0,0,0,1,2,0,경기평택시
2017,0,0,0,1,0,1,1,0,경기평택시
2010,1,0,0,0,0,0,0,0,경기동두천시
2011,4,0,0,0,7,0,0,0,경기동두천시
2012,2,0,0,0,4,3,0,0,경기동두천시
2013,3,1,0,0,4,3,0,0,경기동두천시
2014,5,0,0,0,4,2,1,0,경기동두천시
2015,3,1,0,0,10,3,1,0,경기동두천시
2016,3,1,0,0,10,4,2,0,경기동두천시
2017,1,2,0,0,11,1,1,0,경기동두천시
2008,0,0,0,0,3,1,1,0,경기안산시
2009,0,3,0,0,1,3,3,0,경기안산시
2010,0,3,0,0,1,6,2,0,경기안산시
2011,0,0,0,0,2,2,7,0,경기안산시
2012,0,2,0,0,1,0,2,0,경기안산시
2013,0,1,0,0,4,2,8,0,경기안산시
2014,0,2,0,0,1,1,7,1,경기안산시
2015,0,2,0,0,1,1,2,0,경기안산시
2016,0,3,0,0,5,1,2,0,경기안산시
2017,0,0,0,2,5,1,2,0,경기안산시
2008,0,0,0,0,2,3,2,0,경기고양시
2009,0,1,0,1,12,15,9,0,경기고양시
2010,0,4,0,1,13,11,19,0,경기고양시
2011,0,4,0,0,14,16,7,0,경기고양시
2012,4,9,0,0,21,18,18,0,경기고양시
2013,1,16,0,0,14,6,16,2,경기고양시
2014,1,10,0,1,4,9,17,1,경기고양시
2015,5,10,0,0,6,4,9,0,경기고양시
2016,3,37,0,1,6,4,15,0,경기고양시
2017,1,17,0,3,10,10,16,1,경기고양시
2014,31,4,0,0,11,2,0,0,경기과천시
2015,69,8,0,0,17,1,0,0,경기과천시
2016,63,10,0,0,33,2,1,0,경기과천시
2017,73,10,0,0,44,3,0,0,경기과천시
2009,4,0,0,0,5,0,0,0,경기구리시
2010,3,0,0,0,10,4,1,0,경기구리시
2011,4,1,0,0,17,2,1,0,경기구리시
2012,7,0,0,0,8,9,3,0,경기구리시
2013,5,4,0,0,18,10,4,1,경기구리시
2014,13,4,0,0,29,3,8,0,경기구리시
2015,8,2,0,0,32,21,4,0,경기구리시
2016,8,9,0,0,29,2,7,0,경기구리시
2017,8,6,0,0,31,9,9,0,경기구리시
2008,0,0,0,0,0,1,0,0,경기남양주시
2009,0,3,0,0,7,3,6,0,경기남양주시
2010,0,6,0,0,6,8,10,0,경기남양주시
2011,0,1,0,0,10,7,3,0,경기남양주시
2012,1,4,0,0,7,9,9,1,경기남양주시
2013,0,5,0,1,3,7,7,0,경기남양주시
2014,3,7,0,0,8,6,5,0,경기남양주시
2015,5,6,0,0,9,12,11,1,경기남양주시
2016,11,6,0,2,14,8,17,0,경기남양주시
2017,8,7,0,0,13,13,14,0,경기남양주시
2011,10,0,0,0,0,0,0,0,경기오산시
2012,10,0,0,0,0,0,0,0,경기오산시
2013,19,1,0,0,0,0,0,0,경기오산시
2014,27,1,0,0,3,0,0,0,경기오산시
2015,63,0,0,0,2,0,0,1,경기오산시
2016,72,1,0,0,2,1,0,1,경기오산시
2017,90,1,0,0,4,0,0,1,경기오산시
2008,1,0,0,0,2,1,1,0,경기시흥시
2009,0,0,0,0,4,6,1,0,경기시흥시
2010,1,4,0,0,11,4,1,0,경기시흥시
2011,0,3,0,0,9,7,1,0,경기시흥시
2012,1,3,0,0,4,9,3,0,경기시흥시
2013,0,0,0,0,5,5,3,0,경기시흥시
2014,3,7,0,0,11,8,5,0,경기시흥시
2015,6,6,0,2,18,13,6,0,경기시흥시
2016,9,13,0,0,10,14,10,0,경기시흥시
2017,6,11,0,1,21,11,15,0,경기시흥시
2008,0,1,0,0,2,0,2,0,경기군포시
2009,0,2,0,0,8,9,6,0,경기군포시
2010,0,7,0,0,8,13,11,0,경기군포시
2011,0,1,0,0,11,9,8,0,경기군포시
2012,0,3,0,0,12,16,10,0,경기군포시
2013,0,0,0,0,5,8,12,0,경기군포시
2014,0,3,0,0,4,6,12,1,경기군포시
2015,1,6,0,0,9,7,13,1,경기군포시
2016,2,7,0,0,8,7,9,0,경기군포시
2017,0,5,0,3,4,7,13,0,경기군포시
