geumNo,gubunCd,gubunNm,positionCd,positionNm,geumNm,geumType,geumTypeNm,processCd,processNm,gradeCd,gradeNm,isCheck1,isCheckClean,isCheck,isClean,carType,prodCd,prodNm,custNm,accCnt,checkValue,cleanValue,vsCheck,csClean,checkRestCnt,cleanRestCnt,imgSrc
AA17204,0,보관장,C09,C-09,INSULATOR 1-STEP,M02,인서트금형,1,시작,A,A 등급,NN,NN,N,N,CVVD,AA17204,INSULATOR SUB ASS'Y,,0,50000,40000,0,0,50000,40000,Han.jpg
HD017-101002-X01A,0,보관장,C10,C-10,HSG 2-STEP,M02,인서트금형,1,시작,A,A 등급,NN,NN,N,N,CVVD,HD017-101002-X01A,HSG 2-STEP,,0,999999999,999999999,0,0,999999999,999999999,Han40.jpg
00000-00002,0,생산,C11,C-11,INSULATOR PIPE,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,N3(SNAP),00000-00002,INSULATOR PIPE,,0,50000,40000,0,0,50000,40000,ham01.jpg
00000-00003,0,보관장,C12,C-12,N3(TM) ORIFICE LWR,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,N3(TM),00000-00003,ORIFICE LWR,,0,50000,40000,0,0,50000,40000,ham02.jpg
00000-00004,0,생산,C13,C-13,N3(ENG)ORIFICE LWR,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,,,,,0,50000,40000,0,0,50000,40000,ham03.jpg
00000-00005,0,보관장,C14,C-14,N3(SNAP) BRK'T,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,N3(SNAP),00000-00005,INSULATOR BRKT,,0,50000,40000,0,0,50000,40000,ham04.jpg
00000-00006,0,수리,C15,C-15,MIDDLE PLATE,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,TM,00000-00005,MIDDLE PLATE,,0,50000,40000,0,0,50000,40000,ham05.jpg
F121000-0001,0,보관장,D01,D-01,PLASTIC RING,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,MODEL-3,F121000-0001,PRASTIC RING,,0,70000,50000,0,0,70000,50000,ham06.jpg
Y111000-0158-02,0,보관장,D02,D-02,158,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,MODEL-3,Y111000-0158,FRT GEARCASE BUSH,,0,50000,40000,0,0,50000,40000,Han.jpg
Y112000-0086,0,보관장,D03,D-03,86,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,MODEL-3,Y112000-0086,FRT RHS BUSH,,0,50000,40000,0,0,50000,40000,Han40.jpg
930A-00000,0,수리,D04,D-04,GRASE BUSH 대/소,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,GRACE,930A-00000,INNER CASE (LARGE),,0,70000,50000,0,0,70000,50000,ham01.jpg
55160-A3100,0,보관장,D05,D-05,STOPPER PLASTIC,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,TAM,55160-A3100,STOPPER PLASTIC,,0,70000,50000,0,0,70000,50000,ham02.jpg
A22000-0002,0,보관장,D08,D-08,CMF-1 STOPPER,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,CMF1,A220000-0002,STOPPER,,0,70000,50000,0,0,70000,50000,ham03.jpg
88923-Y4540,0,수리,D09,D-09,CLAMP TILT,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,Y400,88923-Y4540,CLAMP TILT,,0,70000,50000,0,0,70000,50000,ham04.jpg
AA17002,0,보관장,D10,D-10,STATOR ASS'Y(2STEP),M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,CVVD,AA17002,STATOR ASS'Y(2STEP),,0,50000,40000,0,0,50000,40000,ham05.jpg
A112200-0029,0,보관장,D11,D-11,ORIFICE LOWER,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,N3(ENG),A112200-0029,ORIFICE LOWER,,0,50000,40000,0,0,50000,40000,ham06.jpg
A112100-0028,0,보관장,D12,D-12,ORIFICE UPPER,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,N3(ENG),A112100-0028,ORIFICE UPPER,,0,50000,40000,0,0,50000,40000,Han.jpg
A215200-0007,0,보관장,D15,D-15,ORIFICE UPPER,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,N3(TM),A215200-0007,ORIFICE UPPER,,0,50000,40000,0,0,50000,40000,Han40.jpg
